,establecimiento,Provincia,Sector,Ámbito,Matricula__12_total,Matricula__13y14_total,matricula_5to_6to,bajo,medio,alto,NSE,%_bajo,%_medio,%_alto,total_censados,isocioa_puntaje,tasa_no_respuesta
422,421051506004210,Córdoba,Privado,Urbano,17.0,15.0,32.0,4.0,9.0,2.0,medio,0.26666666666666666,0.6,0.13333333333333333,15.0,-0.2806482676757393,0.46875
423,421206004212060,Córdoba,Estatal,Urbano,76.0,,76.0,1.0,35.0,32.0,medio,0.014705882352941176,0.5147058823529411,0.47058823529411764,68.0,0.7565264738985494,0.8947368421052632
424,421800010385904,Córdoba,Privado,Urbano,26.0,,26.0,4.0,17.0,4.0,medio,0.16,0.68,0.16,25.0,0.09467223531658497,0.9615384615384616
425,422400089958442,Córdoba,Estatal,Urbano,36.0,13.0,49.0,6.0,23.0,3.0,medio,0.1875,0.71875,0.09375,32.0,-0.2209224020710473,0.6530612244897959
426,423450063040542,Córdoba,Estatal,Urbano,68.0,51.0,119.0,0.0,49.0,15.0,medio,0.0,0.765625,0.234375,64.0,0.45368387924027587,0.5378151260504201
427,425700462033425,Córdoba,Privado,Urbano,29.0,,29.0,0.0,22.0,7.0,medio,0.0,0.7586206896551724,0.2413793103448276,29.0,0.48241930509708414,1.0
428,425700462693425,Córdoba,Privado,Urbano,33.0,,33.0,0.0,9.0,5.0,medio,0.0,0.6428571428571429,0.35714285714285715,14.0,0.7055469319390776,0.42424242424242425
429,425700463023425,Córdoba,Privado,Urbano,29.0,,29.0,2.0,22.0,4.0,medio,0.07142857142857142,0.7857142857142857,0.14285714285714285,28.0,0.21132723895692854,0.9655172413793104
430,425700463353425,Córdoba,Privado,Urbano,67.0,,67.0,0.0,24.0,38.0,alto,0.0,0.3870967741935484,0.6129032258064516,62.0,1.01386695452922,0.9253731343283582
431,425920012358724,Córdoba,Estatal,Urbano,51.0,,51.0,14.0,32.0,1.0,medio,0.2978723404255319,0.6808510638297872,0.02127659574468085,47.0,-0.5151654884340283,0.9215686274509803
432,428250010541254,Córdoba,Estatal,Urbano,8.0,3.0,11.0,0.0,7.0,1.0,medio,0.0,0.875,0.125,8.0,0.22577819886991712,0.7272727272727273
433,429210080067942,Córdoba,Estatal,Urbano,50.0,,50.0,6.0,36.0,7.0,medio,0.12244897959183673,0.7346938775510204,0.14285714285714285,49.0,0.04297378834012087,0.98
434,429650091169042,Córdoba,Privado,Urbano,35.0,,35.0,1.0,28.0,6.0,medio,0.02857142857142857,0.8,0.17142857142857143,35.0,0.2667041810148197,1.0
